"edge_name","FC_ctrl","FC_exp","FC_exp_ctrl","statistics","p_value","mlog10p","adj_p_value","mlog10padj","perturbation_score","Mode","edge_type","node1_log2FC","node2_log2FC","FA_change","Ferroptosis-related reactions","label"
"LPE_16:0;0 --> PE_16:0;0_20:4;0",6.96972950449605,27.8887938315197,4.00141695793634,5.84797361226493,3.20382185370626e-08,7.49433164056012,7.10135135086233e-07,6.14865899939662,14.9924926526361,"Increase","Increase",-1.06290698150609,0.196402789542461," (20:4)","yes","LPE_16:0-->PE_16:0_20:4"
"LPE_18:0;0 --> PE_18:0;0_20:4;0",72.1181707383881,143.774334530839,1.99359375118355,5.806038346274,3.92565243637778e-08,7.4060881539579,8.17996414649882e-07,6.08724859987536,7.37180871521392,"Increase","Increase",-0.691287034128402,0.147898818362663," (20:4)","yes","LPE_18:0-->PE_18:0_20:4"
"LPE_18:1;0 --> PE_18:1;0_20:4;0",18.5518570146906,39.0313549267982,2.10390554950325,5.53504336792005,1.429807391766e-07,6.84472246206436,2.46366812119679e-06,5.60841779603703,7.3448659166745,"Increase","Increase",-1.14999425375167,0.137706901438122," (20:4)","yes","LPE_18:1-->PE_18:1_20:4"
"LPA_18:0;0 --> PA_18:0;0_20:4;0",0.113863635310748,0.170269975224789,1.49538502578195,4.98472683140842,1.7570568610903e-06,5.75521418383301,1.96790368442113e-05,4.70599616116283,3.34099962416763,"Increase","Increase",-0.489485376259667,0.152168541151834," (20:4)","yes","LPA_18:0-->PA_18:0_20:4"
"LPA_18:1;0 --> PA_18:1;0_20:4;0",0.0198882323592466,0.0306976784750318,1.54350964532852,4.35311467088095,2.53069686271147e-05,4.59675987330725,0.000198903893771007,3.7013567149816,2.8785576779762,"Increase","Increase",-0.56761552682178,0.0958590160625403," (20:4)","yes","LPA_18:1-->PA_18:1_20:4"
"LPC_16:0;0 --> PC_16:0;0_20:4;0",2.63179309491915,4.40910032076277,1.67532179078774,3.57992497546804,0.000469003586578485,3.32882383612225,0.00218514349007375,2.66052003928801,2.47810372696084,"Increase","Non-change",-0.645441860167823,-0.0796347137097938," (20:4)","yes","LPC_16:0-->PC_16:0_20:4"
"LPA_16:0;0 --> PA_16:0;0_20:4;0",0.223592564428244,0.298776357758867,1.33625354905195,4.3487684651997,2.57540344048911e-05,4.58915472846594,0.00020065752023289,3.69754455915743,1.91915596156393,"Increase","Non-change",-0.501253293692009,-0.0705943949298083," (20:4)","yes","LPA_16:0-->PA_16:0_20:4"
"LPC_18:0;0 --> PC_18:0;0_20:4;0",5.81343592461582,7.70903644837187,1.32607231735875,3.00674459109573,0.00311674657054044,2.50629850971881,0.0103814309561496,1.98374278005909,1.02046313522257,"Increase","Increase",-0.418514547926744,0.149388178052331," (20:4)","yes","LPC_18:0-->PC_18:0_20:4"
"LPC_16:1;0 --> PC_16:1;0_20:4;0",2.23770938164722,2.92404350813749,1.30671280735528,2.43191741915809,0.0162467077454567,1.78923463178298,0.036483834937166,1.43789951780761,0.690540965472975,"Increase","Non-change",-0.525324927737515,-0.0878229754196542," (20:4)","yes","LPC_16:1-->PC_16:1_20:4"
"LPC_18:1;0 --> PC_18:1;0_20:4;0",1.51295789000444,1.98348547831909,1.31099846956961,2.18252700969073,0.0306915214490444,1.51298158206193,0.0622162968740809,1.2060958417489,0.591070464841795,"Increase","Increase",-0.328820203316528,0.10743590582956," (20:4)","yes","LPC_18:1-->PC_18:1_20:4"
"LPA_16:1;0 --> PA_16:1;0_20:4;0",0.00495026770716978,0.00671694297824471,1.35688479403167,2.00101298564123,0.0472704034143976,1.32541069133154,0.0886072833876574,1.05253057828154,0.583575987102887,"Increase","Non-change",-0.60443531174048,-0.525324927737515," (20:4)","yes","LPA_16:1-->PA_16:1_20:4"
"LPC_18:2;0 --> PC_18:2;0_20:4;0",0.589078206099017,0.736035057782368,1.24946917092134,1.91717879761101,0.0571955343466225,1.24263787827567,0.102733653109797,0.988287268517623,0.39927856908642,"Increase","Non-change",-0.723522272814872,-0.384510761100147," (20:4)","yes","LPC_18:2-->PC_18:2_20:4"
"LPA_18:2;0 --> PA_18:2;0_20:4;0",0.00145607262929917,0.00120835608863691,0.829873499660871,-1.91613765503076,0.0573290474943065,1.24162527384373,0.102733653109797,0.988287268517623,-0.334042712182552,"Decrease","Non-change",-0.492800361213207,-0.723522272814872," (20:4)","yes","LPA_18:2-->PA_18:2_20:4"
