"pathway","pval","padj","log2err","ES","NES","size","Data","FA","color"
"16:0;0",0.0175657096804561,0.0752816129162403,0.352487857583619,0.342029979817911,1.50144133629348,58,"Lipid species","16:0","Non-sig"
"16:1;0",0.000660927500976161,0.00495695625732121,0.477270815362862,-0.550848075751206,-1.8773308409293,37,"Lipid species","16:1","Depleted"
"18:0;0",0.133395221568918,0.432043204320432,0.249246554383295,0.28207781521442,1.26754257770917,64,"Lipid species","18:0","Non-sig"
"18:1;0",0.0000416038943015463,0.000416038943015463,0.557332238758646,-0.504543905327575,-1.94226200543583,84,"Lipid species","18:1","Depleted"
"19:1;0",0.22258064516129,0.556451612903226,0.114266502484433,-0.57973094471249,-1.21679534724284,6,"Lipid species","19:1","Non-sig"
"20:1;0",0.00547356923579075,0.0328414154147445,0.407017918923954,-0.641765960602521,-1.74767318514944,15,"Lipid species","20:1","Depleted"
"20:2;0",0.0000106144906199156,0.000159217359298734,0.593325476396405,-0.753287507287128,-2.13360368900784,17,"Lipid species","20:2","Depleted"
"20:5;0",0.00741570406493837,0.0370785203246919,0.407017918923954,0.907630522088353,1.66698138492951,3,"Lipid species","20:5","Enriched"
"22:6;0",0.0000000208346321679583,0.00000062503896503875,0.73376198835648,0.919564959791497,2.61611198363312,11,"Lipid species","22:6","Enriched"
"16:0;0",0.0000206781969945597,0.000103390984972799,0.575610261071129,0.401856124126451,1.84071396885077,98,"Substructure","16:0","Enriched"
"16:1;0",0.00000268767676354727,0.0000201575757266045,0.627256739718528,-0.566292195861385,-1.99740555011821,65,"Substructure","16:1","Depleted"
"18:0;0",0.00255287250967867,0.00850957503226223,0.431707695803346,0.334063951695621,1.52810355402719,94,"Substructure","18:0","Enriched"
"18:1;0",0.00000000652324945481041,0.0000000652324945481041,0.761460801445585,-0.556889960767125,-2.13693871230299,118,"Substructure","18:1","Depleted"
"19:1;0",0.00000755546357355265,0.0000453327814413159,0.610526878385931,-0.829865917874967,-2.12255508600463,13,"Substructure","19:1","Depleted"
"20:1;0",0.0000298193288117994,0.00012779712347914,0.575610261071129,-0.684388058962604,-2.07441679956779,27,"Substructure","20:1","Depleted"
"20:2;0",0.0000000000201022984669112,0.000000000301534477003667,0.863415391606693,-0.84621698177442,-2.53856844499077,25,"Substructure","20:2","Depleted"
"20:5;0",0.000111584225461159,0.000418440845479347,0.538434096309916,0.832439386049384,2.18942825061402,10,"Substructure","20:5","Enriched"
"22:6;0",0.0000000000000515704612988623,0.00000000000154711383896587,0.965327754226083,0.927398268865388,2.93327207595442,19,"Substructure","22:6","Enriched"
