feature,class,totallength,totaldb,FA_sum,FA_num,FA_split
PC_28:0;0,PC,28,0,28:0;0,2,
PC_30:0;0,PC,30,0,30:0;0,2,
PC_32:0;0,PC,32,0,32:0;0,2,
PC_34:1;0,PC,34,1,34:1;0,2,
PC_34:0;0,PC,34,0,34:0;0,2,
PC_36:4;0,PC,36,4,36:4;0,2,
PC_36:2;0,PC,36,2,36:2;0,2,
PC_36:1;0,PC,36,1,36:1;0,2,
PC_36:0;0,PC,36,0,36:0;0,2,
PC_38:6;0,PC,38,6,38:6;0,2,
PC_38:5;0,PC,38,5,38:5;0,2,
PC_38:4;0,PC,38,4,38:4;0,2,
PC_40:8;0,PC,40,8,40:8;0,2,
PC_40:7;0,PC,40,7,40:7;0,2,
PC_40:6;0,PC,40,6,40:6;0,2,
PC_40:5;0,PC,40,5,40:5;0,2,
PC_40:4;0,PC,40,4,40:4;0,2,
PE_34:1;0,PE,34,1,34:1;0,2,
PE_34:0;0,PE,34,0,34:0;0,2,
PE_36:5;0,PE,36,5,36:5;0,2,
PE_36:4;0,PE,36,4,36:4;0,2,
PE_36:3;0,PE,36,3,36:3;0,2,
PE_36:2;0,PE,36,2,36:2;0,2,
PE_36:1;0,PE,36,1,36:1;0,2,
PE_38:6;0,PE,38,6,38:6;0,2,
PE_38:5;0,PE,38,5,38:5;0,2,
PE_38:4;0,PE,38,4,38:4;0,2,
PE_38:3;0,PE,38,3,38:3;0,2,
PE_38:2;0,PE,38,2,38:2;0,2,
PE_40:7;0,PE,40,7,40:7;0,2,
PE_40:6;0,PE,40,6,40:6;0,2,
PE_40:5;0,PE,40,5,40:5;0,2,
PE_40:4;0,PE,40,4,40:4;0,2,
PE_42:5;0,PE,42,5,42:5;0,2,
PS_34:1;0,PS,34,1,34:1;0,2,
PS_34:0;0,PS,34,0,34:0;0,2,
PS_36:2;0,PS,36,2,36:2;0,2,
PS_36:1;0,PS,36,1,36:1;0,2,
PS_38:5;0,PS,38,5,38:5;0,2,
PS_38:4;0,PS,38,4,38:4;0,2,
PS_38:2;0,PS,38,2,38:2;0,2,
PS_38:1;0,PS,38,1,38:1;0,2,
PS_38:0;0,PS,38,0,38:0;0,2,
PS_40:7;0,PS,40,7,40:7;0,2,
PS_40:6;0,PS,40,6,40:6;0,2,
PS_40:5;0,PS,40,5,40:5;0,2,
PS_40:4;0,PS,40,4,40:4;0,2,
PS_40:2;0,PS,40,2,40:2;0,2,
PS_40:1;0,PS,40,1,40:1;0,2,
PS_42:7;0,PS,42,7,42:7;0,2,
PS_42:6;0,PS,42,6,42:6;0,2,
PS_42:5;0,PS,42,5,42:5;0,2,
PS_42:4;0,PS,42,4,42:4;0,2,
PS_42:2;0,PS,42,2,42:2;0,2,
PS_42:1;0,PS,42,1,42:1;0,2,
LPC_16:0;0,LPC,16,0,16:0;0,1,16:0;0
LPC_18:2;0,LPC,18,2,18:2;0,1,18:2;0
LPC_18:1;0,LPC,18,1,18:1;0,1,18:1;0
LPC_18:0;0,LPC,18,0,18:0;0,1,18:0;0
LPC_20:4;0,LPC,20,4,20:4;0,1,20:4;0
LPC_20:3;0,LPC,20,3,20:3;0,1,20:3;0
LPC_20:0;0,LPC,20,0,20:0;0,1,20:0;0
LPC_22:6;0,LPC,22,6,22:6;0,1,22:6;0
LPC_22:4;0,LPC,22,4,22:4;0,1,22:4;0
LPE_16:0;0,LPE,16,0,16:0;0,1,16:0;0
LPE_18:1;0,LPE,18,1,18:1;0,1,18:1;0
LPE_18:0;0,LPE,18,0,18:0;0,1,18:0;0
LPE_20:4;0,LPE,20,4,20:4;0,1,20:4;0
LPE_22:6;0,LPE,22,6,22:6;0,1,22:6;0
LPS_16:0;0,LPS,16,0,16:0;0,1,16:0;0
LPS_18:1;0,LPS,18,1,18:1;0,1,18:1;0
LPS_18:0;0,LPS,18,0,18:0;0,1,18:0;0
LPS_20:4;0,LPS,20,4,20:4;0,1,20:4;0
LPS_20:1;0,LPS,20,1,20:1;0,1,20:1;0
LPS_20:0;0,LPS,20,0,20:0;0,1,20:0;0
LPS_22:6;0,LPS,22,6,22:6;0,1,22:6;0
LPS_22:5;0,LPS,22,5,22:5;0,1,22:5;0
LPS_22:1;0,LPS,22,1,22:1;0,1,22:1;0
LPS_22:0;0,LPS,22,0,22:0;0,1,22:0;0
LPS_24:1;0,LPS,24,1,24:1;0,1,24:1;0
16:0 FFA,FFA,16,0,16:0;0,1,16:0;0
18:1 FFA,FFA,18,1,18:1;0,1,18:1;0
18:0 FFA,FFA,18,0,18:0;0,1,18:0;0
20:4 FFA,FFA,20,4,20:4;0,1,20:4;0
