"lipid","Lipid species","Substructure"
"DAG",,2.21068837711584
"DAG_28:0;0",,6.16016252261125
"DAG_30:0;0",,6.46978688808161
"DAG_32:0;0",,6.51908817309777
"DAG_34:1;0",,1.58894624711322
"DAG_36:0;0",,2.27210125985271
"DAG_36:1;0",,3.03963739254356
"DAG_36:2;0",,5.28678341257184
"DAG_36:4;0",,3.71885019509865
"DAG_36:5;0",,2.05989114288076
"DAG_38:1;0",,2.33850770822839
"DAG_38:2;0",,2.21068837711584
"DAG_38:4;0",,2.57704039718487
"DAG_38:6;0",,2.3874939742557
"DAG_40:1;0",,2.1351543412702
"DAG_40:2;0",,2.09057478773031
"DAG_40:4;0",,3.08002832406909
"DAG_40:5;0",,2.74020388646374
"DAG_40:6;0",,6.92364140548938
"DAG_40:7;0",,4.25397548251254
"DAG_42:2;0",,2.35490355329387
"DAG_42:4;0",,3.08002832406909
"DAG_42:5;0",,1.41356206307178
"DAG_42:6;0",,4.31925825864288
"DAG_42:7;0",,1.67553851835713
"LPA_18:0;0",,2.4029284204444
"LPA_18:1;0",,5.41790878226208
"LPA_18:2;0",,3.51014985137868
"LPA_20:0;0",,3.45662138918212
"LPA_20:1;0",,6.9901027044583
"LPA_20:3;0",,5.27517671056363
"LPA_20:4;0",,4.87623997715438
"LPA_22:0;0",,6.00518097075296
"LPA_22:1;0",,6.9901027044583
"LPA_22:4;0",,5.36069148287196
"LPA_22:6;0",,4.94078811040461
"LPC_18:0;0",2.47856301001359,2.57704039718487
"LPC_20:0;0",2.97129680690098,3.13850470622413
"LPC_22:4;0",1.90672437857222,2.03975350883857
"LPC_22:6;0",2.5819329558184,2.74269380870248
"LPE_18:0;0",2.52446328705924,2.64211409606462
"LPE_22:6;0",2.29860302053841,2.3874939742557
"LPS_16:0;0",2.47856301001359,2.57704039718487
"LPS_18:0;0",3.95069099809498,4.31925825864288
"LPS_18:1;0",2.13423791955246,2.25068854593524
"LPS_20:0;0",5.3943302299941,5.62647893625027
"LPS_20:1;0",2.09929059063858,2.21068837711584
"LPS_20:4;0",2.22061445956155,2.33850770822839
"LPS_22:0;0",3.90718799628788,4.25397548251254
"LPS_22:5;0",2.08659737590034,2.21068837711584
"LPS_22:6;0",2.80326284654424,3.03654105794138
"PA",,2.21068837711584
"PA_28:0;0",,6.16016252261125
"PA_30:0;0",,6.46978688808161
"PA_32:0;0",,6.51908817309777
"PA_34:1;0",,1.58894624711322
"PA_36:0;0",,2.27210125985271
"PA_36:1;0",,3.03963739254356
"PA_36:2;0",,5.28678341257184
"PA_36:4;0",,3.71885019509865
"PA_36:5;0",,2.05989114288076
"PA_38:1;0",,2.33850770822839
"PA_38:2;0",,2.21068837711584
"PA_38:4;0",,2.57704039718487
"PA_38:6;0",,2.3874939742557
"PA_40:1;0",,2.1351543412702
"PA_40:2;0",,2.09057478773031
"PA_40:4;0",,3.08002832406909
"PA_40:5;0",,2.74020388646374
"PA_40:6;0",,6.92364140548938
"PA_40:7;0",,4.25397548251254
"PA_42:2;0",,2.35490355329387
"PA_42:4;0",,3.08002832406909
"PA_42:5;0",,1.41356206307178
"PA_42:6;0",,4.31925825864288
"PA_42:7;0",,1.67553851835713
"PC",,2.21068837711584
"PC_28:0;0",5.73325407701345,6.16016252261125
"PC_30:0;0",6.13295459771425,6.46978688808161
"PC_32:0;0",6.16932619843782,6.51908817309777
"PC_36:0;0",1.88464074992651,2.27210125985271
"PC_36:1;0",2.2174239099298,4.74867514358721
"PC_36:2;0",6.26343033566124,6.92364140548938
"PC_36:4;0",2.63352723634943,3.28633788637338
"PC_36:5;0",,2.05989114288076
"PC_38:1;0",,2.33850770822839
"PC_38:2;0",,2.1351543412702
"PC_38:4;0",0.000371299948538488,4.64949922726402
"PC_38:6;0",1.6689305526239,2.12963068325288
"PC_40:1;0",,2.1351543412702
"PC_40:2;0",,2.09057478773031
"PC_40:6;0",2.56309473376038,6.9901027044583
"PC_40:7;0",1.88875589993116,3.22598207861326
"PC_42:2;0",,2.35490355329387
"PC_42:4;0",,3.08002832406909
"PC_42:5;0",,1.53790012956942
"PC_42:6;0",,4.31925825864288
"PC_42:7;0",,1.67553851835713
"PE",,2.21068837711584
"PE_28:0;0",,6.16016252261125
"PE_30:0;0",,6.46978688808161
"PE_32:0;0",,6.51908817309777
"PE_34:1;0",0.0561272675215722,2.09057478773031
"PE_36:0;0",,2.27210125985271
"PE_36:1;0",0.939819909552362,2.11298171211417
"PE_36:2;0",0.957147728331594,3.5361440261941
"PE_36:4;0",3.73184894966737,4.43732782209258
"PE_36:5;0",1.99107433445942,2.05989114288076
"PE_38:1;0",,2.33850770822839
"PE_38:2;0",2.45704079986944,2.26707284898808
"PE_38:4;0",1.23639956985226,1.78616650514999
"PE_38:5;0",0.594837612490008,1.56293993067814
"PE_38:6;0",3.07780591760703,3.08002832406909
"PE_40:1;0",,2.1351543412702
"PE_40:2;0",,2.09057478773031
"PE_40:4;0",1.55914740087883,2.74269380870248
"PE_40:5;0",2.52446328705924,5.45818105960233
"PE_40:6;0",3.19592662198685,5.4894570376182
"PE_40:7;0",5.14862568352877,5.41348358159648
"PE_42:2;0",,2.35490355329387
"PE_42:4;0",,3.08002832406909
"PE_42:5;0",1.4781666149377,1.56269213226991
"PE_42:6;0",,4.31925825864288
"PE_42:7;0",,1.67553851835713
"PI",,2.21068837711584
"PI_28:0;0",,6.16016252261125
"PI_30:0;0",,6.46978688808161
"PI_32:0;0",,6.51908817309777
"PI_34:1;0",,1.58894624711322
"PI_36:0;0",,2.27210125985271
"PI_36:1;0",,3.03963739254356
"PI_36:2;0",,5.28678341257184
"PI_36:4;0",,3.71885019509865
"PI_36:5;0",,2.05989114288076
"PI_38:1;0",,2.33850770822839
"PI_38:2;0",,2.21068837711584
"PI_38:4;0",,2.57704039718487
"PI_38:6;0",,2.3874939742557
"PI_40:1;0",,2.1351543412702
"PI_40:2;0",,2.09057478773031
"PI_40:4;0",,3.08002832406909
"PI_40:5;0",,2.74020388646374
"PI_40:6;0",,6.92364140548938
"PI_40:7;0",,4.25397548251254
"PI_42:2;0",,2.35490355329387
"PI_42:4;0",,3.08002832406909
"PI_42:5;0",,1.41356206307178
"PI_42:6;0",,4.31925825864288
"PI_42:7;0",,1.67553851835713
"PS",,2.21068837711584
"PS_34:0;0",1.99978832269801,2.17995240047961
"PS_34:1;0",2.5819329558184,2.75011995350021
"PS_36:4;0",,3.95431814271816
"PS_36:5;0",,2.05989114288076
"PS_38:1;0",1.41891327954075,2.33850770822839
"PS_38:2;0",0.346418918706206,2.03160067355168
"PS_38:5;0",2.02661655439007,1.39133030047169
"PS_38:6;0",,3.18355593257319
"PS_40:1;0",1.34518762199994,2.1351543412702
"PS_40:2;0",1.97760407011377,2.09057478773031
"PS_40:4;0",3.19592662198685,3.5528978103719
"PS_40:6;0",2.5819329558184,3.05529913116526
"PS_40:7;0",3.15836011880188,4.56202020634881
"PS_42:2;0",2.25115411575551,2.35490355329387
"PS_42:4;0",2.02661655439007,3.08002832406909
"PS_42:5;0",1.44865536520817,1.53164131836317
"PS_42:6;0",3.57141122947517,4.31925825864288
"PS_42:7;0",1.30054664311721,1.67553851835713
